"","State.UTs_Code","District_Code","CD.Block_Code","Town.Village_Code","Ward_Code","EB_Code","State.UTs_Name","District_Name","Level","Name","Total.Rural.Urban","No.of.Households","Total.Population.Person","Total.Population.Male","Total.Population.Female","Population.in.the.age.group.0.6.Person","Population.in.the.age.group.0.6.Male","Population.in.the.age.group.0.6.Female","Scheduled.Castes.population.Person","Scheduled.Castes.population.Male","Scheduled.Castes.population.Female","Scheduled.Tribes.population.Person","Scheduled.Tribes.population.Male","Scheduled.Tribes.population.Female","Literates.Population.Person","Literates.Population.Male","Literates.Population.Female","Illiterate.Persons","Illiterate.Male","Illiterate.Female","Total.Worker.Population.Person","Total.Worker.Population.Male","Total.Worker.Population.Female","Main.Working.Population.Person","Main.Working.Population.Male","Main.Working.Population.Female","Main.Cultivator.Population.Person","Main.Cultivator.Population.Male","Main.Cultivator.Population.Female","Main.Agricultural.Labourers.Population.Person","Main.Agricultural.Labourers.Population.Male","Main.Agricultural.Labourers.Population.Female","Main.Household.Industries.Population.Person","Main.Household.Industries.Population.Male","Main.Household.Industries.Population.Female","Main.Other.Workers.Population.Person","Main.Other.Workers.Population.Male","Main.Other.Workers.Population.Female","Marginal.Worker.Population.Person","Marginal.Worker.Population.Male","Marginal.Worker.Population.Female","Marginal.Cultivator.Population.Person","Marginal.Cultivator.Population.Male","Marginal.Cultivator.Population.Female","Marginal.Agriculture.Labourers.Population.Person","Marginal.Agriculture.Labourers.Population.Male","Marginal.Agriculture.Labourers.Population.Female","Marginal.Household.Industries.Population.Person","Marginal.Household.Industries.Population.Male","Marginal.Household.Industries.Population.Female","Marginal.Other.Workers.Population.Person","Marginal.Other.Workers.Population.Male","Marginal.Other.Workers.Population.Female","Marginal.Worker.Population.3_6.Person","Marginal.Worker.Population.3_6.Male","Marginal.Worker.Population.3_6.Female","Marginal.Cultivator.Population.3_6.Person","Marginal.Cultivator.Population.3_6.Male","Marginal.Cultivator.Population.3_6.Female","Marginal.Agriculture.Labourers.Population.3_6.Person","Marginal.Agriculture.Labourers.Population.3_6.Male","Marginal.Agriculture.Labourers.Population.3_6.Female","Marginal.Household.Industries.Population.3_6.Person","Marginal.Household.Industries.Population.3_6.Male","Marginal.Household.Industries.Population.3.6.Female","Marginal.Other.Workers.Population.Person.3_6.Person","Marginal.Other.Workers.Population.Person.3_6.Male","Marginal.Other.Workers.Population.Person.3_6.Female","Marginal.Worker.Population.0_3.Person","Marginal.Worker.Population.0_3.Male","Marginal.Worker.Population.0_3_Female","Marginal.Cultivator.Population.0_3.Person","Marginal.Cultivator.Population.0_3.Male","Marginal.Cultivator.Population.0_3_Female","Marginal.Agriculture.Labourers.Population.0_3.Person","Marginal.Agriculture.Labourers.Population.0_3.Male","Marginal.Agriculture.Labourers.Population.0_3.Female","Marginal.Household.Industries.Population.0_3.Person","Marginal.Household.Industries.Population.0_3.Male","Marginal.Household.Industries.Population.0_3.Female","Marginal.Other.Workers.Population.0_3.Person","Marginal.Other.Workers.Population.0_3.Male","Marginal.Other.Workers.Population.0_3.Female","Non.Working.Population.Person","Non.Working.Population.Male","Non.Working.Population.Female","GenderEqualityRatio","BackwardClassRatio","FemaleLiteracyRatio","UnemployedRatio","FulltimeWorkerRatio","ChildLabourRatio","MarginalWorkerRatio","Cluster"
"515",29,572,113,613250,0,0,"KARNATAKA","Bangalore","VILLAGE","Mahal Chowdadenahalli","Rural",127,591,296,295,72,37,35,225,111,114,5,2,3,397,216,181,194,80,114,248,181,67,209,163,46,87,74,13,50,40,10,4,4,0,68,45,23,39,18,21,0,0,0,32,13,19,1,0,1,6,5,1,39,18,21,0,0,0,32,13,19,1,0,1,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,115,228,0.497737556561086,0.38917089678511,0.306260575296108,0.580372250423012,0.707275803722504,0.117647058823529,0.131979695431472,"4"
"516",29,572,113,613251,0,0,"KARNATAKA","Bangalore","VILLAGE","Gudighattanahalli","Rural",10,33,18,15,3,3,0,5,3,2,0,0,0,17,10,7,16,8,8,21,11,10,9,8,1,2,2,0,6,5,1,0,0,0,1,1,0,12,3,9,0,0,0,12,3,9,0,0,0,0,0,0,12,3,9,0,0,0,12,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,5,0.416666666666667,0.151515151515152,0.212121212121212,0.363636363636364,0.545454545454545,0.666666666666667,0.727272727272727,"3"
"517",29,572,113,613252,0,0,"KARNATAKA","Bangalore","VILLAGE","Panditana Agrahara","Rural",193,824,424,400,134,56,78,268,135,133,0,0,0,523,302,221,301,122,179,355,249,106,352,249,103,110,101,9,139,66,73,5,2,3,98,80,18,3,0,3,0,0,0,1,0,1,0,0,0,2,0,2,3,0,3,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,175,294,0.498956158663883,0.325242718446602,0.268203883495146,0.569174757281553,0.854368932038835,0.00626304801670146,0.00728155339805825,"4"
"518",29,572,113,613253,0,0,"KARNATAKA","Bangalore","VILLAGE","Mattanahalli","Rural",146,658,331,327,75,36,39,249,125,124,87,37,50,402,227,175,256,104,152,258,197,61,165,142,23,134,120,14,12,8,4,3,2,1,16,12,4,93,55,38,7,3,4,81,48,33,0,0,0,5,4,1,93,55,38,7,3,4,81,48,33,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,134,266,0.499317871759891,0.51063829787234,0.265957446808511,0.60790273556231,0.501519756838906,0.2537517053206,0.282674772036474,"3"
"519",29,572,113,613254,0,0,"KARNATAKA","Bangalore","VILLAGE","Gollahalli","Rural",2160,7433,4631,2802,671,356,315,552,345,207,320,210,110,6236,4086,2150,1197,545,652,5151,3861,1290,4988,3755,1233,56,40,16,40,27,13,43,36,7,4849,3652,1197,163,106,57,24,7,17,3,1,2,2,2,0,134,96,38,122,72,50,22,5,17,3,1,2,0,0,0,97,66,31,41,34,7,2,2,0,0,0,0,2,2,0,37,30,7,2282,770,1512,0.384624876604146,0.117314677788242,0.28925063904211,0.307009282927486,1.34212296515539,0.0402270483711747,0.0438584689896408,"2"
"520",29,572,113,613255,0,0,"KARNATAKA","Bangalore","VILLAGE","Veerasandra","Rural",2595,9190,5397,3793,1029,532,497,1028,589,439,340,190,150,7156,4466,2690,2034,931,1103,5726,4119,1607,5561,4004,1557,64,45,19,73,54,19,21,17,4,5403,3888,1515,165,115,50,15,7,8,6,2,4,1,1,0,143,105,38,155,107,48,13,6,7,6,2,4,1,1,0,135,98,37,10,8,2,2,1,1,0,0,0,0,0,0,8,7,1,3464,1278,2186,0.419806243272336,0.148857453754081,0.292709466811752,0.376931447225245,1.21022850924918,0.0322927879440258,0.0359085963003264,"2"
"521",29,572,113,613256,0,0,"KARNATAKA","Bangalore","VILLAGE","Kammasandra","Rural",2749,9912,5685,4227,1216,632,584,891,489,402,162,93,69,7890,4737,3153,2022,948,1074,5267,3979,1288,4671,3624,1047,180,117,63,407,346,61,108,73,35,3976,3088,888,596,355,241,42,15,27,51,34,17,18,6,12,485,300,185,577,344,233,38,12,26,45,29,16,18,6,12,476,297,179,19,11,8,4,3,1,6,5,1,0,0,0,9,3,6,4645,1706,2939,0.432332854061826,0.106234866828087,0.318099273607748,0.46862389023406,0.942493946731235,0.107117181883537,0.120258272800646,"4"
"522",29,572,113,613257,0,0,"KARNATAKA","Bangalore","VILLAGE","Vaddara Palya","Rural",1231,4686,2835,1851,597,292,305,1666,849,817,77,37,40,3151,2155,996,1535,680,855,2675,2103,572,2487,1994,493,36,24,12,82,49,33,109,74,35,2260,1847,413,188,109,79,12,7,5,3,0,3,3,0,3,170,102,68,185,108,77,12,7,5,3,0,3,3,0,3,167,101,66,3,1,2,0,0,0,0,0,0,0,0,0,3,1,2,2011,732,1279,0.408101457505205,0.371959026888604,0.212548015364917,0.429150661545028,1.06145966709347,0.0711716827560098,0.0802390098164746,"2"
"523",29,572,113,613258,0,0,"KARNATAKA","Bangalore","VILLAGE","Andapura","Rural",524,1769,951,818,262,134,128,20,14,6,45,42,3,1166,653,513,603,298,305,723,588,135,655,555,100,102,91,11,20,17,3,176,161,15,357,286,71,68,33,35,7,4,3,9,2,7,15,7,8,37,20,17,57,29,28,5,3,2,9,2,7,12,7,5,31,17,14,11,4,7,2,1,1,0,0,0,3,0,3,6,3,3,1046,363,683,0.465780403741999,0.036743923120407,0.289994347088751,0.591294516676088,0.740531373657434,0.0669620876415559,0.07687959299039,"4"
"524",29,572,113,613259,0,0,"KARNATAKA","Bangalore","VILLAGE","Ramasagara","Rural",520,2199,1087,1112,240,126,114,765,357,408,40,25,15,1553,822,731,646,265,381,1138,667,471,840,515,325,165,106,59,53,21,32,9,7,2,613,381,232,298,152,146,15,11,4,16,5,11,13,4,9,254,132,122,291,148,143,15,11,4,15,5,10,12,4,8,249,128,121,7,4,3,0,0,0,1,0,1,1,0,1,5,4,1,1061,420,641,0.502665026650266,0.366075488858572,0.332423829013188,0.482492041837199,0.763983628922237,0.244362443624436,0.271032287403365,"4"
